Año,Trimestre,Provincia,Accesos por cada 100 hogares,Categoría,Fecha
2020,1, Salta ,49.6,Baja penetración,2020-01-01
2020,1, San Juan ,32.39,Baja penetración,2020-01-01
2020,1, San Luis ,76.31,Alta penetración,2020-01-01
2020,1, Santa Cruz ,35.97,Baja penetración,2020-01-01
2020,1, Santa Fe ,69.52,Alta penetración,2020-01-01
2020,1, Santiago Del Estero ,42.47,Baja penetración,2020-01-01
2020,1, Tierra Del Fuego ,76.07,Alta penetración,2020-01-01
2020,1, Tucumán ,47.85,Baja penetración,2020-01-01
2019,4, Buenos Aires ,64.25,Alta penetración,2019-04-01
2019,4, Capital Federal ,106.25,Alta penetración,2019-04-01
2019,4, Catamarca ,36.44,Baja penetración,2019-04-01
2019,4, Chaco ,36.84,Baja penetración,2019-04-01
2019,4, Chubut ,51.15,Alta penetración,2019-04-01
2019,4, Córdoba ,70.48,Alta penetración,2019-04-01
2019,4, Corrientes ,38.77,Baja penetración,2019-04-01
2019,4, Entre Ríos ,57.99,Alta penetración,2019-04-01
2019,4, Formosa ,30.47,Baja penetración,2019-04-01
2019,4, Jujuy ,45.38,Baja penetración,2019-04-01
2019,4, La Pampa ,76.92,Alta penetración,2019-04-01
2019,4, La Rioja ,47.14,Baja penetración,2019-04-01
2019,4, Mendoza ,33.65,Baja penetración,2019-04-01
2019,4, Misiones ,39.79,Baja penetración,2019-04-01
2019,4, Neuquén ,59.36,Alta penetración,2019-04-01
2019,4, Río Negro ,55.71,Alta penetración,2019-04-01
2019,4, Salta ,50.35,Alta penetración,2019-04-01
2019,4, San Juan ,32.85,Baja penetración,2019-04-01
2019,4, San Luis ,74.92,Alta penetración,2019-04-01
2019,4, Santa Cruz ,36.71,Baja penetración,2019-04-01
2019,4, Santa Fe ,69.48,Alta penetración,2019-04-01
